dasher_services	LDAP_MANAGEMENT_UPDATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	2
dasher_services	CS_DELETE_CERTIFICATE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	2
dasher_services	LDAP_MANAGEMENT_DELETE	DELEGATED_ADMIN	DASHER_SERVICES 806895588327	2
dasher_services	USERS_RETRIEVE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	836,336,534
dasher_services	GROUPS_RETRIEVE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	761,683,381
dasher_services	USERS_RENAME_USER	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	423,190,112
dasher_services	GROUPS_UPDATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	280,713,177
dasher_services	ROOT_APP_ADMIN	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	175,349,178
dasher_services	APPS_SECURITY_3LO_RETRIEVE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	170,800,958
dasher_services	APPS_SECURITY_ASP_RETRIEVE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	69,670,538
dasher_services	USERS_RESET_PASSWORD_USER	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	63,526,714
dasher_services	ORGS_RETRIEVE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	59,604,460
dasher_services	USERS_CREATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	37,701,334
dasher_services	LICENSING_READ	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	23,840,170
dasher_services	RETRIEVE_ROLES	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	17,213,110
dasher_services	USERS_ADD_NICKNAME_USER	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	15,170,141
dasher_services	USERS_UPDATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	11,306,291
dasher_services	USERS_MOVE_USER	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	8,952,113
dasher_services	DATATRANSFER_RETRIEVE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	5,862,252
dasher_services	API_APPS_ENTERPRISE_NOTIFICATIONS	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	5,275,201
dasher_services	USERS_SUSPEND_USER	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	5,206,902
dasher_services	CUSTOMER_TAKEOUT_API_READ	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	4,915,204
dasher_services	DOMAIN_MANAGEMENT_READ	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	4,909,420
dasher_services	SCHEMA_RETRIEVE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	4,722,522
dasher_services	USERS_DELETE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	4,567,153
dasher_services	GROUPS_CREATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	4,536,041
dasher_services	LICENSING	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	4,264,672
dasher_services	READ_LONGRUNNING_OPERATION_STATUS	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	3,719,226
dasher_services	ignored-by-authz	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	3,153,659
dasher_services	USERS_FORCE_PASSWORD_CHANGE_USER	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	3,139,490
dasher_services	ORGS_DELETE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	2,752,380
dasher_services	APPS_SECURITY_2SV_BACKUP_CODES_RETRIEVE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	2,258,851
dasher_services	APPS_SECURITY_2SV_STATUS	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	2,078,795
dasher_services	DATATRANSFER_CREATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	1,628,610
dasher_services	DOMAIN_REGISTRATION_MANAGEMENT	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	1,275,011
dasher_services	USER_INVITE_MANAGEMENT	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	1,126,612
dasher_services	GROUPS_DELETE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	827,267
dasher_services	DELETE_CONSUMER_CONVERSION	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	777,604
dasher_services	APPS_SECURITY_3LO_DELETE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	765,984
dasher_services	API_APPS_ENTERPRISE_CUSTOMER_READ	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	732,779
dasher_services	APPS_SECURITY_RETRIEVE_SECURITY_KEYS	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	554,050
dasher_services	ORGS_CREATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	434,874
dasher_services	DATATRANSFER_API_PRIVILEGE_GROUP	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	359,316
dasher_services	INSIGHT_CARDS_READ	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	303,162
dasher_services	DOMAIN_MANAGEMENT	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	228,287
dasher_services	MANAGE_TWO_STEP_VERIFICATION_POLICY	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	224,872
dasher_services	ORGS_UPDATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	217,980
dasher_services	APPS_SECURITY_2SV_BACKUP_CODES_UPDATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	169,451
dasher_services	MANAGE_ROLE_ASSIGNMENTS	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	148,389
dasher_services	USERS_CHANGE_ADMIN_STATUS	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	147,026
dasher_services	SAML2_SERVICE_PROVIDER	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	128,108
dasher_services	ORGS_RETRIEVE_PRIVILEGE_GROUP	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	126,398
dasher_services	CS_RETRIEVE_CERTIFICATE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	86,712
dasher_services	USERS_UNDELETE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	84,892
dasher_services	APPS_SECURITY_LOGIN_CHALLENGE_UNBLOCK	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	50,049
dasher_services	THIRD_PARTY_USER_IMPERSONATION_SETTINGS_PROTO	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	44,722
dasher_services	API_APPS_ENTERPRISE_DOMAIN_DELETE	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	32,367
dasher_services	APPS_SECURITY_RESET_USER_SESSIONS	DOMAIN_ADMIN	DASHER_SERVICES 806895588327	30,879
